horizon_days,target,repetition,model_id,architecture,wall_seconds,batch_size,resource,gpu_count,supporting_cpu_cores,slurm_job_id,target_date
7,ET,66,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19209512788802385,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,67,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19179337844252586,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,68,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19219829607754946,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,69,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19238528609275818,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,70,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19220901653170586,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,71,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19432696048170328,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,72,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19925087969750166,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,73,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19913215283304453,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,74,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1991363102570176,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,75,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1994455447420478,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,76,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19943707808852196,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,77,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19963498041033745,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,78,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19924258533865213,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,79,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19943194929510355,1,NVIDIA A40,1,8,6499038,2020-07-01
