horizon_days,repetition,et_seconds,sm_seconds,pair_seconds,resource,gpu_count,supporting_cpu_cores,batch_size,slurm_job_id,target_date
7,153,0.1923107523471117,0.18708533328026533,0.37940068542957306,NVIDIA A40,1,8,1,6499038,2020-07-01
7,154,0.19291680864989758,0.1865865048021078,0.3795079719275236,NVIDIA A40,1,8,1,6499038,2020-07-01
7,155,0.19121014699339867,0.19210877548903227,0.3833232503384352,NVIDIA A40,1,8,1,6499038,2020-07-01
7,156,0.19835678208619356,0.1924503119662404,0.3908120933920145,NVIDIA A40,1,8,1,6499038,2020-07-01
7,157,0.1983442073687911,0.1931206714361906,0.39147107023745775,NVIDIA A40,1,8,1,6499038,2020-07-01
7,158,0.19885066151618958,0.19274568930268288,0.39160179160535336,NVIDIA A40,1,8,1,6499038,2020-07-01
7,159,0.19829138554632664,0.19267447292804718,0.3909705178812146,NVIDIA A40,1,8,1,6499038,2020-07-01
7,160,0.1986958123743534,0.1926992405205965,0.3913998045027256,NVIDIA A40,1,8,1,6499038,2020-07-01
7,161,0.19862725120037794,0.1925138747319579,0.39114632550626993,NVIDIA A40,1,8,1,6499038,2020-07-01
7,162,0.19827692955732346,0.1918484941124916,0.39013117272406816,NVIDIA A40,1,8,1,6499038,2020-07-01
7,163,0.19838882330805063,0.19225258100777864,0.3906463133171201,NVIDIA A40,1,8,1,6499038,2020-07-01
7,164,0.19907341990619898,0.19181293528527021,0.39089126605540514,NVIDIA A40,1,8,1,6499038,2020-07-01
7,165,0.19872491899877787,0.1929209567606449,0.3916516285389662,NVIDIA A40,1,8,1,6499038,2020-07-01
7,166,0.19900370575487614,0.19202266912907362,0.39103110413998365,NVIDIA A40,1,8,1,6499038,2020-07-01
7,167,0.19809583947062492,0.18919045198708773,0.3872917015105486,NVIDIA A40,1,8,1,6499038,2020-07-01
7,168,0.19743521977216005,0.1914149196818471,0.3888551890850067,NVIDIA A40,1,8,1,6499038,2020-07-01
7,169,0.19746639858931303,0.1914978502318263,0.3889689175412059,NVIDIA A40,1,8,1,6499038,2020-07-01
7,170,0.19791772682219744,0.19228148739784956,0.390204394236207,NVIDIA A40,1,8,1,6499038,2020-07-01
7,171,0.19785424508154392,0.19298178423196077,0.3908415986225009,NVIDIA A40,1,8,1,6499038,2020-07-01
7,172,0.19415043201297522,0.18404044676572084,0.37819515727460384,NVIDIA A40,1,8,1,6499038,2020-07-01
7,173,0.1908130319789052,0.18513426091521978,0.3759518526494503,NVIDIA A40,1,8,1,6499038,2020-07-01
7,174,0.1909417612478137,0.18604700546711683,0.3769940873607993,NVIDIA A40,1,8,1,6499038,2020-07-01
7,175,0.19042308256030083,0.18329591490328312,0.3737230049446225,NVIDIA A40,1,8,1,6499038,2020-07-01
7,176,0.18968307971954346,0.18736795708537102,0.37705536372959614,NVIDIA A40,1,8,1,6499038,2020-07-01
7,177,0.19574898574501276,0.1900634104385972,0.3858167855069041,NVIDIA A40,1,8,1,6499038,2020-07-01
7,178,0.19846281502395868,0.1913530519232154,0.38982072565704584,NVIDIA A40,1,8,1,6499038,2020-07-01
7,179,0.1980624059215188,0.1904610563069582,0.38852847181260586,NVIDIA A40,1,8,1,6499038,2020-07-01
7,180,0.1985742198303342,0.1927069053053856,0.3912864848971367,NVIDIA A40,1,8,1,6499038,2020-07-01
7,181,0.19941759202629328,0.19368559774011374,0.3931076182052493,NVIDIA A40,1,8,1,6499038,2020-07-01
7,182,0.1996134091168642,0.19420476537197828,0.39382318314164877,NVIDIA A40,1,8,1,6499038,2020-07-01
7,183,0.1998300151899457,0.19320534355938435,0.393039807677269,NVIDIA A40,1,8,1,6499038,2020-07-01
7,184,0.19880143646150827,0.1928376778960228,0.39164494536817074,NVIDIA A40,1,8,1,6499038,2020-07-01
